kernel,kernel_id,stat,value
final_kernel,0,l2_bandwidth_gbps,11.4026
final_kernel,0,gpu_tot_sim_cycle,16932
final_kernel,0,l2_cache_write_total,1920
final_kernel,0,gpgpu_n_tot_w_icount,16320
final_kernel,0,kernel_launch_uid,16
final_kernel,0,const_cache_read_total,20
final_kernel,0,gpu_tot_ipc,30.6015
final_kernel,0,total_dram_reads,200
final_kernel,0,l2_cache_read_miss,0
final_kernel,0,gpgpu_simulation_time_sec,4
final_kernel,0,l2_cache_write_hit,1856
final_kernel,0,gpgpu_silicon_slowdown,379636
final_kernel,0,total_dram_writes,128
final_kernel,0,gpu_occupancy,12.339
final_kernel,0,gpu_total_instructions,518144
final_kernel,0,gpu_ipc,35.0744
final_kernel,0,l2_cache_write_miss,32
final_kernel,0,gpgpu_simulation_rate,4233
final_kernel,0,l2_cache_read_total,1024
final_kernel,0,total_core_cache_write_hit,0
final_kernel,0,l2_cache_read_hit,1024
final_kernel,0,total_core_cache_read_mshr_hit,0
final_kernel,0,total_core_cache_read_hit,0
