stat,raw_value,agg_value
POWER_LLC_LINEFILL_BUF_R,69255,69255
POWER_LLC_LINEFILL_BUF_W,68100,68100
POWER_LLC_LINEFILL_BUF_R_TAG,69255,69255
POWER_LLC_WB_BUF_R,0,0
POWER_LLC_WB_BUF_W,0,0
POWER_LLC_WB_BUF_R_TAG,0,0
POWER_LLC_R,115505,115505
POWER_LLC_W,68100,68100
POWER_LLC_R_TAG,183605,183605
POWER_MC_R,342132,342132
POWER_MC_W,68100,68100
POWER_BLOCK_STATES_R_CORE_0,400441,400441
POWER_BLOCK_STATES_W_CORE_0,400441,400441
POWER_FETCH_QUEUE_R_CORE_0,353100,353100
POWER_FETCH_QUEUE_W_CORE_0,353100,353100
POWER_INST_QUEUE_R_CORE_0,450502,450502
POWER_INST_QUEUE_W_CORE_0,353100,353100
POWER_BR_PRED_R_CORE_0,3084,3084
POWER_BR_PRED_W_CORE_0,3084,3084
POWER_RAS_R_CORE_0,192,192
POWER_RAS_W_CORE_0,0,0
POWER_ICACHE_R_CORE_0,353100,353100
POWER_ICACHE_W_CORE_0,4,4
POWER_ICACHE_R_TAG_CORE_0,353197,353197
POWER_ICACHE_MISS_BUF_R_CORE_0,6,6
POWER_ICACHE_MISS_BUF_W_CORE_0,194,194
POWER_ICACHE_MISS_BUF_R_TAG_CORE_0,97,97
POWER_ICACHE_MISS_BUF_W_TAG_CORE_0,0,0
POWER_ICACHE_TOT_ACC_CORE_0,0,0
POWER_ICACHE_CONF_CORE_0,0,0
POWER_INST_DECODER_R_CORE_0,353100,353100
POWER_INST_DECODER_W_CORE_0,0,0
POWER_MICRO_OP_SEQ_R_CORE_0,0,0
POWER_MICRO_OP_SEQ_W_CORE_0,0,0
POWER_OPERAND_DECODER_R_CORE_0,353100,353100
POWER_OPERAND_DECODER_W_CORE_0,0,0
POWER_UOP_QUEUE_R_CORE_0,450502,450502
POWER_UOP_QUEUE_W_CORE_0,353100,353100
POWER_REG_RENAMING_TABLE_R_CORE_0,0,0
POWER_REG_RENAMING_TABLE_W_CORE_0,0,0
POWER_DEP_CHECK_LOGIC_R_CORE_0,353100,353100
POWER_FREELIST_R_CORE_0,0,0
POWER_FREELIST_W_CORE_0,0,0
POWER_RESERVATION_STATION_R_CORE_0,1090855,1090855
POWER_RESERVATION_STATION_W_CORE_0,353100,353100
POWER_RESERVATION_STATION_R_TAG_CORE_0,353100,353100
POWER_RESERVATION_STATION_W_TAG_CORE_0,0,0
POWER_INST_ISSUE_SEL_LOGIC_R_CORE_0,353100,353100
POWER_INST_ISSUE_SEL_LOGIC_W_CORE_0,353100,353100
POWER_PAYLOAD_RAM_R_CORE_0,353100,353100
POWER_PAYLOAD_RAM_W_CORE_0,353100,353100
POWER_EX_ALU_R_CORE_0,142476,142476
POWER_EX_FPU_R_CORE_0,0,0
POWER_EX_MUL_R_CORE_0,0,0
POWER_EX_SFU_R_CORE_0,0,0
POWER_REORDER_BUF_R_CORE_0,0,0
POWER_REORDER_BUF_W_CORE_0,0,0
POWER_INST_COMMIT_SEL_LOGIC_R_CORE_0,0,0
POWER_INST_COMMIT_SEL_LOGIC_W_CORE_0,353100,353100
POWER_FP_RENAME_R_CORE_0,0,0
POWER_FP_RENAME_W_CORE_0,0,0
POWER_LOAD_QUEUE_R_CORE_0,0,0
POWER_LOAD_QUEUE_W_CORE_0,0,0
POWER_LOAD_QUEUE_R_TAG_CORE_0,0,0
POWER_LOAD_QUEUE_W_TAG_CORE_0,0,0
POWER_STORE_QUEUE_R_CORE_0,0,0
POWER_STORE_QUEUE_W_CORE_0,0,0
POWER_STORE_QUEUE_R_TAG_CORE_0,0,0
POWER_STORE_QUEUE_W_TAG_CORE_0,0,0
POWER_DATA_TLB_R_CORE_0,0,0
POWER_DATA_TLB_W_CORE_0,0,0
POWER_DATA_TLB_R_TAG_CORE_0,0,0
POWER_DATA_TLB_W_TAG_CORE_0,0,0
POWER_INT_REGFILE_R_CORE_0,495576,495576
POWER_INT_REGFILE_W_CORE_0,353100,353100
POWER_FP_REGFILE_R_CORE_0,0,0
POWER_FP_REGFILE_W_CORE_0,0,0
POWER_GP_REGISTER_R_CORE_0,495576,495576
POWER_GP_REGISTER_W_CORE_0,353100,353100
POWER_FP_REGISTER_R_CORE_0,0,0
POWER_FP_REGISTER_W_CORE_0,0,0
POWER_SEGMENT_REGISTER_R_CORE_0,210624,210624
POWER_SEGMENT_REGISTER_W_CORE_0,210624,210624
POWER_CONTROL_REGISTER_R_CORE_0,0,0
POWER_CONTROL_REGISTER_W_CORE_0,0,0
POWER_FLAG_REGISTER_R_CORE_0,0,0
POWER_FLAG_REGISTER_W_CORE_0,0,0
POWER_EXEC_BYPASS_CORE_0,353100,353100
POWER_LOAD_BYPASS_CORE_0,16278,16278
POWER_PIPELINE_CORE_0,353100,353100
POWER_DCACHE_MISS_BUF_R_CORE_0,16272,16272
POWER_DCACHE_MISS_BUF_R_TAG_CORE_0,6336,6336
POWER_DCACHE_MISS_BUF_W_CORE_0,6336,6336
POWER_DCACHE_MISS_BUF_W_TAG_CORE_0,0,0
POWER_DCACHE_LINEFILL_BUF_R_CORE_0,0,0
POWER_L2CACHE_LINEFILL_BUF_R_CORE_0,5426,5426
POWER_DCACHE_LINEFILL_BUF_W_CORE_0,5426,5426
POWER_L2CACHE_LINEFILL_BUF_W_CORE_0,5426,5426
POWER_DCACHE_LINEFILL_BUF_R_TAG_CORE_0,5426,5426
POWER_L2CACHE_LINEFILL_BUF_R_TAG_CORE_0,5426,5426
POWER_DCACHE_LINEFILL_BUF_W_TAG_CORE_0,5426,5426
POWER_DCACHE_WB_BUF_R_CORE_0,0,0
POWER_L2CACHE_WB_BUF_R_CORE_0,0,0
POWER_DCACHE_WB_BUF_W_CORE_0,0,0
POWER_L2CACHE_WB_BUF_W_CORE_0,0,0
POWER_DCACHE_WB_BUF_R_TAG_CORE_0,0,0
POWER_L2CACHE_WB_BUF_R_TAG_CORE_0,0,0
POWER_DCACHE_WB_BUF_W_TAG_CORE_0,0,0
POWER_DCACHE_R_CORE_0,0,0
POWER_L2CACHE_R_CORE_0,0,0
POWER_DCACHE_W_CORE_0,6144,6144
POWER_L2CACHE_W_CORE_0,0,0
POWER_DCACHE_R_TAG_CORE_0,6336,6336
POWER_L2CACHE_R_TAG_CORE_0,0,0
POWER_CONST_CACHE_R_CORE_0,0,0
POWER_CONST_CACHE_W_CORE_0,0,0
POWER_CONST_CACHE_R_TAG_CORE_0,0,0
POWER_CONST_CACHE_W_TAG_CORE_0,0,0
POWER_TEXTURE_CACHE_R_CORE_0,0,0
POWER_TEXTURE_CACHE_W_CORE_0,0,0
POWER_TEXTURE_CACHE_R_TAG_CORE_0,0,0
POWER_TEXTURE_CACHE_W_TAG_CORE_0,0,0
POWER_SHARED_MEM_R_CORE_0,204288,204288
POWER_SHARED_MEM_W_CORE_0,0,0
POWER_SHARED_MEM_R_TAG_CORE_0,204288,204288
POWER_SHARED_MEM_W_TAG_CORE_0,0,0
POWER_BLOCK_STATES_R_CORE_1,400623,400623
POWER_BLOCK_STATES_W_CORE_1,400623,400623
POWER_FETCH_QUEUE_R_CORE_1,353100,353100
POWER_FETCH_QUEUE_W_CORE_1,353100,353100
POWER_INST_QUEUE_R_CORE_1,451665,451665
POWER_INST_QUEUE_W_CORE_1,353100,353100
POWER_BR_PRED_R_CORE_1,3084,3084
POWER_BR_PRED_W_CORE_1,3084,3084
POWER_RAS_R_CORE_1,192,192
POWER_RAS_W_CORE_1,0,0
POWER_ICACHE_R_CORE_1,353100,353100
POWER_ICACHE_W_CORE_1,4,4
POWER_ICACHE_R_TAG_CORE_1,353189,353189
POWER_ICACHE_MISS_BUF_R_CORE_1,3,3
POWER_ICACHE_MISS_BUF_W_CORE_1,178,178
POWER_ICACHE_MISS_BUF_R_TAG_CORE_1,89,89
POWER_ICACHE_MISS_BUF_W_TAG_CORE_1,0,0
POWER_ICACHE_TOT_ACC_CORE_1,0,0
POWER_ICACHE_CONF_CORE_1,0,0
POWER_INST_DECODER_R_CORE_1,353100,353100
POWER_INST_DECODER_W_CORE_1,0,0
POWER_MICRO_OP_SEQ_R_CORE_1,0,0
POWER_MICRO_OP_SEQ_W_CORE_1,0,0
POWER_OPERAND_DECODER_R_CORE_1,353100,353100
POWER_OPERAND_DECODER_W_CORE_1,0,0
POWER_UOP_QUEUE_R_CORE_1,451665,451665
POWER_UOP_QUEUE_W_CORE_1,353100,353100
POWER_REG_RENAMING_TABLE_R_CORE_1,0,0
POWER_REG_RENAMING_TABLE_W_CORE_1,0,0
POWER_DEP_CHECK_LOGIC_R_CORE_1,353100,353100
POWER_FREELIST_R_CORE_1,0,0
POWER_FREELIST_W_CORE_1,0,0
POWER_RESERVATION_STATION_R_CORE_1,1092904,1092904
POWER_RESERVATION_STATION_W_CORE_1,353100,353100
POWER_RESERVATION_STATION_R_TAG_CORE_1,353100,353100
POWER_RESERVATION_STATION_W_TAG_CORE_1,0,0
POWER_INST_ISSUE_SEL_LOGIC_R_CORE_1,353100,353100
POWER_INST_ISSUE_SEL_LOGIC_W_CORE_1,353100,353100
POWER_PAYLOAD_RAM_R_CORE_1,353100,353100
POWER_PAYLOAD_RAM_W_CORE_1,353100,353100
POWER_EX_ALU_R_CORE_1,142476,142476
POWER_EX_FPU_R_CORE_1,0,0
POWER_EX_MUL_R_CORE_1,0,0
POWER_EX_SFU_R_CORE_1,0,0
POWER_REORDER_BUF_R_CORE_1,0,0
POWER_REORDER_BUF_W_CORE_1,0,0
POWER_INST_COMMIT_SEL_LOGIC_R_CORE_1,0,0
POWER_INST_COMMIT_SEL_LOGIC_W_CORE_1,353100,353100
POWER_FP_RENAME_R_CORE_1,0,0
POWER_FP_RENAME_W_CORE_1,0,0
POWER_LOAD_QUEUE_R_CORE_1,0,0
POWER_LOAD_QUEUE_W_CORE_1,0,0
POWER_LOAD_QUEUE_R_TAG_CORE_1,0,0
POWER_LOAD_QUEUE_W_TAG_CORE_1,0,0
POWER_STORE_QUEUE_R_CORE_1,0,0
POWER_STORE_QUEUE_W_CORE_1,0,0
POWER_STORE_QUEUE_R_TAG_CORE_1,0,0
POWER_STORE_QUEUE_W_TAG_CORE_1,0,0
POWER_DATA_TLB_R_CORE_1,0,0
POWER_DATA_TLB_W_CORE_1,0,0
POWER_DATA_TLB_R_TAG_CORE_1,0,0
POWER_DATA_TLB_W_TAG_CORE_1,0,0
POWER_INT_REGFILE_R_CORE_1,495576,495576
POWER_INT_REGFILE_W_CORE_1,353100,353100
POWER_FP_REGFILE_R_CORE_1,0,0
POWER_FP_REGFILE_W_CORE_1,0,0
POWER_GP_REGISTER_R_CORE_1,495576,495576
POWER_GP_REGISTER_W_CORE_1,353100,353100
POWER_FP_REGISTER_R_CORE_1,0,0
POWER_FP_REGISTER_W_CORE_1,0,0
POWER_SEGMENT_REGISTER_R_CORE_1,210624,210624
POWER_SEGMENT_REGISTER_W_CORE_1,210624,210624
POWER_CONTROL_REGISTER_R_CORE_1,0,0
POWER_CONTROL_REGISTER_W_CORE_1,0,0
POWER_FLAG_REGISTER_R_CORE_1,0,0
POWER_FLAG_REGISTER_W_CORE_1,0,0
POWER_EXEC_BYPASS_CORE_1,353100,353100
POWER_LOAD_BYPASS_CORE_1,13542,13542
POWER_PIPELINE_CORE_1,353100,353100
POWER_DCACHE_MISS_BUF_R_CORE_1,13539,13539
POWER_DCACHE_MISS_BUF_R_TAG_CORE_1,6336,6336
POWER_DCACHE_MISS_BUF_W_CORE_1,6336,6336
POWER_DCACHE_MISS_BUF_W_TAG_CORE_1,0,0
POWER_DCACHE_LINEFILL_BUF_R_CORE_1,0,0
POWER_L2CACHE_LINEFILL_BUF_R_CORE_1,4514,4514
POWER_DCACHE_LINEFILL_BUF_W_CORE_1,4514,4514
POWER_L2CACHE_LINEFILL_BUF_W_CORE_1,4514,4514
POWER_DCACHE_LINEFILL_BUF_R_TAG_CORE_1,4514,4514
POWER_L2CACHE_LINEFILL_BUF_R_TAG_CORE_1,4514,4514
POWER_DCACHE_LINEFILL_BUF_W_TAG_CORE_1,4514,4514
POWER_DCACHE_WB_BUF_R_CORE_1,0,0
POWER_L2CACHE_WB_BUF_R_CORE_1,0,0
POWER_DCACHE_WB_BUF_W_CORE_1,0,0
POWER_L2CACHE_WB_BUF_W_CORE_1,0,0
POWER_DCACHE_WB_BUF_R_TAG_CORE_1,0,0
POWER_L2CACHE_WB_BUF_R_TAG_CORE_1,0,0
POWER_DCACHE_WB_BUF_W_TAG_CORE_1,0,0
POWER_DCACHE_R_CORE_1,0,0
POWER_L2CACHE_R_CORE_1,0,0
POWER_DCACHE_W_CORE_1,6144,6144
POWER_L2CACHE_W_CORE_1,0,0
POWER_DCACHE_R_TAG_CORE_1,6336,6336
POWER_L2CACHE_R_TAG_CORE_1,0,0
POWER_CONST_CACHE_R_CORE_1,0,0
POWER_CONST_CACHE_W_CORE_1,0,0
POWER_CONST_CACHE_R_TAG_CORE_1,0,0
POWER_CONST_CACHE_W_TAG_CORE_1,0,0
POWER_TEXTURE_CACHE_R_CORE_1,0,0
POWER_TEXTURE_CACHE_W_CORE_1,0,0
POWER_TEXTURE_CACHE_R_TAG_CORE_1,0,0
POWER_TEXTURE_CACHE_W_TAG_CORE_1,0,0
POWER_SHARED_MEM_R_CORE_1,204288,204288
POWER_SHARED_MEM_W_CORE_1,0,0
POWER_SHARED_MEM_R_TAG_CORE_1,204288,204288
POWER_SHARED_MEM_W_TAG_CORE_1,0,0
POWER_BLOCK_STATES_R_CORE_2,403271,403271
POWER_BLOCK_STATES_W_CORE_2,403271,403271
POWER_FETCH_QUEUE_R_CORE_2,353100,353100
POWER_FETCH_QUEUE_W_CORE_2,353100,353100
POWER_INST_QUEUE_R_CORE_2,451660,451660
POWER_INST_QUEUE_W_CORE_2,353100,353100
POWER_BR_PRED_R_CORE_2,3084,3084
POWER_BR_PRED_W_CORE_2,3084,3084
POWER_RAS_R_CORE_2,192,192
POWER_RAS_W_CORE_2,0,0
POWER_ICACHE_R_CORE_2,353100,353100
POWER_ICACHE_W_CORE_2,4,4
POWER_ICACHE_R_TAG_CORE_2,353172,353172
POWER_ICACHE_MISS_BUF_R_CORE_2,6,6
POWER_ICACHE_MISS_BUF_W_CORE_2,144,144
POWER_ICACHE_MISS_BUF_R_TAG_CORE_2,72,72
POWER_ICACHE_MISS_BUF_W_TAG_CORE_2,0,0
POWER_ICACHE_TOT_ACC_CORE_2,0,0
POWER_ICACHE_CONF_CORE_2,0,0
POWER_INST_DECODER_R_CORE_2,353100,353100
POWER_INST_DECODER_W_CORE_2,0,0
POWER_MICRO_OP_SEQ_R_CORE_2,0,0
POWER_MICRO_OP_SEQ_W_CORE_2,0,0
POWER_OPERAND_DECODER_R_CORE_2,353100,353100
POWER_OPERAND_DECODER_W_CORE_2,0,0
POWER_UOP_QUEUE_R_CORE_2,451660,451660
POWER_UOP_QUEUE_W_CORE_2,353100,353100
POWER_REG_RENAMING_TABLE_R_CORE_2,0,0
POWER_REG_RENAMING_TABLE_W_CORE_2,0,0
POWER_DEP_CHECK_LOGIC_R_CORE_2,353100,353100
POWER_FREELIST_R_CORE_2,0,0
POWER_FREELIST_W_CORE_2,0,0
POWER_RESERVATION_STATION_R_CORE_2,1090223,1090223
POWER_RESERVATION_STATION_W_CORE_2,353100,353100
POWER_RESERVATION_STATION_R_TAG_CORE_2,353100,353100
POWER_RESERVATION_STATION_W_TAG_CORE_2,0,0
POWER_INST_ISSUE_SEL_LOGIC_R_CORE_2,353100,353100
POWER_INST_ISSUE_SEL_LOGIC_W_CORE_2,353100,353100
POWER_PAYLOAD_RAM_R_CORE_2,353100,353100
POWER_PAYLOAD_RAM_W_CORE_2,353100,353100
POWER_EX_ALU_R_CORE_2,142476,142476
POWER_EX_FPU_R_CORE_2,0,0
POWER_EX_MUL_R_CORE_2,0,0
POWER_EX_SFU_R_CORE_2,0,0
POWER_REORDER_BUF_R_CORE_2,0,0
POWER_REORDER_BUF_W_CORE_2,0,0
POWER_INST_COMMIT_SEL_LOGIC_R_CORE_2,0,0
POWER_INST_COMMIT_SEL_LOGIC_W_CORE_2,353100,353100
POWER_FP_RENAME_R_CORE_2,0,0
POWER_FP_RENAME_W_CORE_2,0,0
POWER_LOAD_QUEUE_R_CORE_2,0,0
POWER_LOAD_QUEUE_W_CORE_2,0,0
POWER_LOAD_QUEUE_R_TAG_CORE_2,0,0
POWER_LOAD_QUEUE_W_TAG_CORE_2,0,0
POWER_STORE_QUEUE_R_CORE_2,0,0
POWER_STORE_QUEUE_W_CORE_2,0,0
POWER_STORE_QUEUE_R_TAG_CORE_2,0,0
POWER_STORE_QUEUE_W_TAG_CORE_2,0,0
POWER_DATA_TLB_R_CORE_2,0,0
POWER_DATA_TLB_W_CORE_2,0,0
POWER_DATA_TLB_R_TAG_CORE_2,0,0
POWER_DATA_TLB_W_TAG_CORE_2,0,0
POWER_INT_REGFILE_R_CORE_2,495576,495576
POWER_INT_REGFILE_W_CORE_2,353100,353100
POWER_FP_REGFILE_R_CORE_2,0,0
POWER_FP_REGFILE_W_CORE_2,0,0
POWER_GP_REGISTER_R_CORE_2,495576,495576
POWER_GP_REGISTER_W_CORE_2,353100,353100
POWER_FP_REGISTER_R_CORE_2,0,0
POWER_FP_REGISTER_W_CORE_2,0,0
POWER_SEGMENT_REGISTER_R_CORE_2,210624,210624
POWER_SEGMENT_REGISTER_W_CORE_2,210624,210624
POWER_CONTROL_REGISTER_R_CORE_2,0,0
POWER_CONTROL_REGISTER_W_CORE_2,0,0
POWER_FLAG_REGISTER_R_CORE_2,0,0
POWER_FLAG_REGISTER_W_CORE_2,0,0
POWER_EXEC_BYPASS_CORE_2,353100,353100
POWER_LOAD_BYPASS_CORE_2,15864,15864
POWER_PIPELINE_CORE_2,353100,353100
POWER_DCACHE_MISS_BUF_R_CORE_2,15858,15858
POWER_DCACHE_MISS_BUF_R_TAG_CORE_2,6336,6336
POWER_DCACHE_MISS_BUF_W_CORE_2,6336,6336
POWER_DCACHE_MISS_BUF_W_TAG_CORE_2,0,0
POWER_DCACHE_LINEFILL_BUF_R_CORE_2,0,0
POWER_L2CACHE_LINEFILL_BUF_R_CORE_2,5288,5288
POWER_DCACHE_LINEFILL_BUF_W_CORE_2,5288,5288
POWER_L2CACHE_LINEFILL_BUF_W_CORE_2,5288,5288
POWER_DCACHE_LINEFILL_BUF_R_TAG_CORE_2,5288,5288
POWER_L2CACHE_LINEFILL_BUF_R_TAG_CORE_2,5288,5288
POWER_DCACHE_LINEFILL_BUF_W_TAG_CORE_2,5288,5288
POWER_DCACHE_WB_BUF_R_CORE_2,0,0
POWER_L2CACHE_WB_BUF_R_CORE_2,0,0
POWER_DCACHE_WB_BUF_W_CORE_2,0,0
POWER_L2CACHE_WB_BUF_W_CORE_2,0,0
POWER_DCACHE_WB_BUF_R_TAG_CORE_2,0,0
POWER_L2CACHE_WB_BUF_R_TAG_CORE_2,0,0
POWER_DCACHE_WB_BUF_W_TAG_CORE_2,0,0
POWER_DCACHE_R_CORE_2,0,0
POWER_L2CACHE_R_CORE_2,0,0
POWER_DCACHE_W_CORE_2,6144,6144
POWER_L2CACHE_W_CORE_2,0,0
POWER_DCACHE_R_TAG_CORE_2,6336,6336
POWER_L2CACHE_R_TAG_CORE_2,0,0
POWER_CONST_CACHE_R_CORE_2,0,0
POWER_CONST_CACHE_W_CORE_2,0,0
POWER_CONST_CACHE_R_TAG_CORE_2,0,0
POWER_CONST_CACHE_W_TAG_CORE_2,0,0
POWER_TEXTURE_CACHE_R_CORE_2,0,0
POWER_TEXTURE_CACHE_W_CORE_2,0,0
POWER_TEXTURE_CACHE_R_TAG_CORE_2,0,0
POWER_TEXTURE_CACHE_W_TAG_CORE_2,0,0
POWER_SHARED_MEM_R_CORE_2,204288,204288
POWER_SHARED_MEM_W_CORE_2,0,0
POWER_SHARED_MEM_R_TAG_CORE_2,204288,204288
POWER_SHARED_MEM_W_TAG_CORE_2,0,0
POWER_BLOCK_STATES_R_CORE_3,403339,403339
POWER_BLOCK_STATES_W_CORE_3,403339,403339
POWER_FETCH_QUEUE_R_CORE_3,353100,353100
POWER_FETCH_QUEUE_W_CORE_3,353100,353100
POWER_INST_QUEUE_R_CORE_3,456837,456837
POWER_INST_QUEUE_W_CORE_3,353100,353100
POWER_BR_PRED_R_CORE_3,3084,3084
POWER_BR_PRED_W_CORE_3,3084,3084
POWER_RAS_R_CORE_3,192,192
POWER_RAS_W_CORE_3,0,0
POWER_ICACHE_R_CORE_3,353100,353100
POWER_ICACHE_W_CORE_3,4,4
POWER_ICACHE_R_TAG_CORE_3,353196,353196
POWER_ICACHE_MISS_BUF_R_CORE_3,3,3
POWER_ICACHE_MISS_BUF_W_CORE_3,192,192
POWER_ICACHE_MISS_BUF_R_TAG_CORE_3,96,96
POWER_ICACHE_MISS_BUF_W_TAG_CORE_3,0,0
POWER_ICACHE_TOT_ACC_CORE_3,0,0
POWER_ICACHE_CONF_CORE_3,0,0
POWER_INST_DECODER_R_CORE_3,353100,353100
POWER_INST_DECODER_W_CORE_3,0,0
POWER_MICRO_OP_SEQ_R_CORE_3,0,0
POWER_MICRO_OP_SEQ_W_CORE_3,0,0
POWER_OPERAND_DECODER_R_CORE_3,353100,353100
POWER_OPERAND_DECODER_W_CORE_3,0,0
POWER_UOP_QUEUE_R_CORE_3,456837,456837
POWER_UOP_QUEUE_W_CORE_3,353100,353100
POWER_REG_RENAMING_TABLE_R_CORE_3,0,0
POWER_REG_RENAMING_TABLE_W_CORE_3,0,0
POWER_DEP_CHECK_LOGIC_R_CORE_3,353100,353100
POWER_FREELIST_R_CORE_3,0,0
POWER_FREELIST_W_CORE_3,0,0
POWER_RESERVATION_STATION_R_CORE_3,1131008,1131008
POWER_RESERVATION_STATION_W_CORE_3,353100,353100
POWER_RESERVATION_STATION_R_TAG_CORE_3,353100,353100
POWER_RESERVATION_STATION_W_TAG_CORE_3,0,0
POWER_INST_ISSUE_SEL_LOGIC_R_CORE_3,353100,353100
POWER_INST_ISSUE_SEL_LOGIC_W_CORE_3,353100,353100
POWER_PAYLOAD_RAM_R_CORE_3,353100,353100
POWER_PAYLOAD_RAM_W_CORE_3,353100,353100
POWER_EX_ALU_R_CORE_3,142476,142476
POWER_EX_FPU_R_CORE_3,0,0
POWER_EX_MUL_R_CORE_3,0,0
POWER_EX_SFU_R_CORE_3,0,0
POWER_REORDER_BUF_R_CORE_3,0,0
POWER_REORDER_BUF_W_CORE_3,0,0
POWER_INST_COMMIT_SEL_LOGIC_R_CORE_3,0,0
POWER_INST_COMMIT_SEL_LOGIC_W_CORE_3,353100,353100
POWER_FP_RENAME_R_CORE_3,0,0
POWER_FP_RENAME_W_CORE_3,0,0
POWER_LOAD_QUEUE_R_CORE_3,0,0
POWER_LOAD_QUEUE_W_CORE_3,0,0
POWER_LOAD_QUEUE_R_TAG_CORE_3,0,0
POWER_LOAD_QUEUE_W_TAG_CORE_3,0,0
POWER_STORE_QUEUE_R_CORE_3,0,0
POWER_STORE_QUEUE_W_CORE_3,0,0
POWER_STORE_QUEUE_R_TAG_CORE_3,0,0
POWER_STORE_QUEUE_W_TAG_CORE_3,0,0
POWER_DATA_TLB_R_CORE_3,0,0
POWER_DATA_TLB_W_CORE_3,0,0
POWER_DATA_TLB_R_TAG_CORE_3,0,0
POWER_DATA_TLB_W_TAG_CORE_3,0,0
POWER_INT_REGFILE_R_CORE_3,495576,495576
POWER_INT_REGFILE_W_CORE_3,353100,353100
POWER_FP_REGFILE_R_CORE_3,0,0
POWER_FP_REGFILE_W_CORE_3,0,0
POWER_GP_REGISTER_R_CORE_3,495576,495576
POWER_GP_REGISTER_W_CORE_3,353100,353100
POWER_FP_REGISTER_R_CORE_3,0,0
POWER_FP_REGISTER_W_CORE_3,0,0
POWER_SEGMENT_REGISTER_R_CORE_3,210624,210624
POWER_SEGMENT_REGISTER_W_CORE_3,210624,210624
POWER_CONTROL_REGISTER_R_CORE_3,0,0
POWER_CONTROL_REGISTER_W_CORE_3,0,0
POWER_FLAG_REGISTER_R_CORE_3,0,0
POWER_FLAG_REGISTER_W_CORE_3,0,0
POWER_EXEC_BYPASS_CORE_3,353100,353100
POWER_LOAD_BYPASS_CORE_3,14874,14874
POWER_PIPELINE_CORE_3,353100,353100
POWER_DCACHE_MISS_BUF_R_CORE_3,14871,14871
POWER_DCACHE_MISS_BUF_R_TAG_CORE_3,6336,6336
POWER_DCACHE_MISS_BUF_W_CORE_3,6336,6336
POWER_DCACHE_MISS_BUF_W_TAG_CORE_3,0,0
POWER_DCACHE_LINEFILL_BUF_R_CORE_3,0,0
POWER_L2CACHE_LINEFILL_BUF_R_CORE_3,4958,4958
POWER_DCACHE_LINEFILL_BUF_W_CORE_3,4958,4958
POWER_L2CACHE_LINEFILL_BUF_W_CORE_3,4958,4958
POWER_DCACHE_LINEFILL_BUF_R_TAG_CORE_3,4958,4958
POWER_L2CACHE_LINEFILL_BUF_R_TAG_CORE_3,4958,4958
POWER_DCACHE_LINEFILL_BUF_W_TAG_CORE_3,4958,4958
POWER_DCACHE_WB_BUF_R_CORE_3,0,0
POWER_L2CACHE_WB_BUF_R_CORE_3,0,0
POWER_DCACHE_WB_BUF_W_CORE_3,0,0
POWER_L2CACHE_WB_BUF_W_CORE_3,0,0
POWER_DCACHE_WB_BUF_R_TAG_CORE_3,0,0
POWER_L2CACHE_WB_BUF_R_TAG_CORE_3,0,0
POWER_DCACHE_WB_BUF_W_TAG_CORE_3,0,0
POWER_DCACHE_R_CORE_3,0,0
POWER_L2CACHE_R_CORE_3,0,0
POWER_DCACHE_W_CORE_3,6144,6144
POWER_L2CACHE_W_CORE_3,0,0
POWER_DCACHE_R_TAG_CORE_3,6336,6336
POWER_L2CACHE_R_TAG_CORE_3,0,0
POWER_CONST_CACHE_R_CORE_3,0,0
POWER_CONST_CACHE_W_CORE_3,0,0
POWER_CONST_CACHE_R_TAG_CORE_3,0,0
POWER_CONST_CACHE_W_TAG_CORE_3,0,0
POWER_TEXTURE_CACHE_R_CORE_3,0,0
POWER_TEXTURE_CACHE_W_CORE_3,0,0
POWER_TEXTURE_CACHE_R_TAG_CORE_3,0,0
POWER_TEXTURE_CACHE_W_TAG_CORE_3,0,0
POWER_SHARED_MEM_R_CORE_3,204288,204288
POWER_SHARED_MEM_W_CORE_3,0,0
POWER_SHARED_MEM_R_TAG_CORE_3,204288,204288
POWER_SHARED_MEM_W_TAG_CORE_3,0,0
POWER_BLOCK_STATES_R_CORE_4,403623,403623
POWER_BLOCK_STATES_W_CORE_4,403623,403623
POWER_FETCH_QUEUE_R_CORE_4,353100,353100
POWER_FETCH_QUEUE_W_CORE_4,353100,353100
POWER_INST_QUEUE_R_CORE_4,449742,449742
POWER_INST_QUEUE_W_CORE_4,353100,353100
POWER_BR_PRED_R_CORE_4,3084,3084
POWER_BR_PRED_W_CORE_4,3084,3084
POWER_RAS_R_CORE_4,192,192
POWER_RAS_W_CORE_4,0,0
POWER_ICACHE_R_CORE_4,353100,353100
POWER_ICACHE_W_CORE_4,4,4
POWER_ICACHE_R_TAG_CORE_4,353196,353196
POWER_ICACHE_MISS_BUF_R_CORE_4,6,6
POWER_ICACHE_MISS_BUF_W_CORE_4,192,192
POWER_ICACHE_MISS_BUF_R_TAG_CORE_4,96,96
POWER_ICACHE_MISS_BUF_W_TAG_CORE_4,0,0
POWER_ICACHE_TOT_ACC_CORE_4,0,0
POWER_ICACHE_CONF_CORE_4,0,0
POWER_INST_DECODER_R_CORE_4,353100,353100
POWER_INST_DECODER_W_CORE_4,0,0
POWER_MICRO_OP_SEQ_R_CORE_4,0,0
POWER_MICRO_OP_SEQ_W_CORE_4,0,0
