kernel,kernel_id,stat,value
final_kernel,0,l2_cache_read_miss,0
final_kernel,0,l2_cache_write_hit,2688
final_kernel,0,gpgpu_simulation_time_sec,30
final_kernel,0,gpu_occupancy,16.3448
final_kernel,0,total_core_cache_write_total,2816
final_kernel,0,gpgpu_simulation_rate,3038
final_kernel,0,l2_cache_write_miss,32
final_kernel,0,total_dram_reads,0
final_kernel,0,l2_cache_write_total,2816
final_kernel,0,total_core_cache_read_hit,0
final_kernel,0,total_core_cache_read_mshr_hit,0
final_kernel,0,l2_bandwidth_gbps,1.6192
final_kernel,0,gpu_tot_ipc,5.6836
final_kernel,0,gpu_ipc,7.3309
final_kernel,0,l2_cache_read_hit,2048
final_kernel,0,gpu_total_instructions,518144
final_kernel,0,l2_cache_read_total,2048
final_kernel,0,kernel_launch_uid,16
final_kernel,0,gpu_tot_sim_cycle,91165
final_kernel,0,total_dram_writes,0
final_kernel,0,gpgpu_n_tot_w_icount,16320
final_kernel,0,total_core_cache_write_hit,768
final_kernel,0,gpgpu_silicon_slowdown,372613
final_kernel,0,total_core_cache_read_total,2048
