stat,raw_value,agg_value
AVG_MEMORY_LATENCY_BASE,34072,34072
AVG_MEMORY_LATENCY,94791631,2782.1
MSHR_FULL,0,0
TOTAL_MEMORY,34072,34072
TOTAL_MEMORY_MERGE,2297,0.0674161
TOTAL_WB,0,0
L1_WB,0,NaN
L2_WB,0,NaN
LLC_WB,0,NaN
TOTAL_DRAM,1527,1527
TOTAL_DRAM_MERGE,499,0.326785
L1_HIT_CPU,0,0
L1_HIT_GPU,14448,14448
L1_MISS_CPU,0,0
L1_MISS_GPU,32656,32656
L2_HIT_CPU,0,0
L2_HIT_GPU,0,0
L2_MISS_CPU,0,0
L2_MISS_GPU,31775,31775
L3_HIT_CPU,0,0
L3_HIT_GPU,0,0
L3_MISS_CPU,0,0
L3_MISS_GPU,31775,31775
LLC_HIT_CPU,0,0
LLC_HIT_GPU,30248,30248
LLC_MISS_CPU,0,0
LLC_MISS_GPU,1527,1527
LLC_HIT_PROMOTION_CPU,0,0
LLC_HIT_PROMOTION_GPU,0,0
FETCH_THREAD_SKIP_LD_WAIT,0,0
FETCH_THREAD_SKIP_BR_WAIT,0,0
FETCH_THREAD_SKIP_SCHED_WAIT,0,0
NUM_MUL_TRANS_CM_TM_DM_INST,0,0
NUM_MUL_TRANS_CM_TM_DM,0,NaN
CONST_CACHE_HIT,0,0
CONST_CACHE_MISS,0,0
CONST_CACHE_MISS_NO_EXECUTE,0,0
CONST_CACHE_ACCESS,0,0
TEXTURE_CACHE_HIT,0,0
TEXTURE_CACHE_MISS,0,0
TEXTURE_CACHE_NO_EXECUTE,0,0
TEXTURE_CACHE_ACCESS,0,0
SHARED_MEM_INST,0,0
SHARED_MEM_ACCESS,48128,48128
CACHE_BANK_BUSY,123453,123453
ICACHE_MISS_TOTAL,1416,1416
TOTAL_CAGE_PERIOD,0,0
TOTAL_CAGE_APPL0,0,NaN
TOTAL_CAGE_APPL1,0,NaN
TOTAL_CAGE_APPL2,0,NaN
TOTAL_CAGE_APPL3,0,NaN
TOTAL_CAGE_APPL4,0,NaN
ABIP_AVG_RATIO_BASE,0,0
ABIP_AVG_RATIO,0,NaN
TOTAL_WRITE_ACKS,30720,30720
TOTAL_WRITES,30720,30720
NUM_PHYSICAL_PAGES,0,0
UNIQUE_PAGE,0,0
REALLOCATION,0,0
EVICTION,0,0
AVG_PAGE_FAULTS_PER_BATCH_BASE,0,0
AVG_PAGE_FAULTS_PER_BATCH,0,NaN
MAX_PAGE_FAULTS_PER_BATCH,0,NaN
LD_NO_FORWARD,8192,100%
FORWARDED_LD,0,0%
MEM_STALL_CYCLE_CORE_0,0,0
ICACHE_FILL_CORE_0,66,66
NUM_WRITE_ACKS_CORE_0,1920,1920
NUM_WRITES_CORE_0,1920,1920
ICACHE_HIT_CORE_0,17864,99.6319%
ICACHE_MISS_CORE_0,66,0.368098%
MEM_STALL_CYCLE_CORE_1,0,0
ICACHE_FILL_CORE_1,66,66
NUM_WRITE_ACKS_CORE_1,1920,1920
