kernel,kernel_id,stat,value
final_kernel,0,gpgpu_simulation_rate,1528
final_kernel,0,l2_cache_read_total,8192
final_kernel,0,l2_cache_write_miss,128
final_kernel,0,l2_cache_read_hit,8192
final_kernel,0,total_dram_writes,0
final_kernel,0,gpu_total_instructions,2072576
final_kernel,0,gpgpu_simulation_time_sec,60
final_kernel,0,total_core_cache_write_hit,3072
final_kernel,0,total_core_cache_read_hit,0
final_kernel,0,l2_bandwidth_gbps,8.0116
final_kernel,0,l2_cache_write_hit,10752
final_kernel,0,l2_cache_read_miss,0
final_kernel,0,total_dram_reads,0
final_kernel,0,gpu_tot_sim_cycle,91737
final_kernel,0,gpu_ipc,29.1202
final_kernel,0,total_core_cache_read_mshr_hit,0
final_kernel,0,l2_cache_write_total,11264
final_kernel,0,gpu_occupancy,16.2487
final_kernel,0,kernel_launch_uid,16
final_kernel,0,total_core_cache_read_total,8192
final_kernel,0,gpu_tot_ipc,22.5926
final_kernel,0,gpgpu_n_tot_w_icount,65280
final_kernel,0,total_core_cache_write_total,11264
final_kernel,0,gpgpu_silicon_slowdown,922774
